"","OTU","Sample","Abundance","depth_m","avg_cells_ml","Kingdom","Phylum","Class","Order","Family","Genus","OTU_RA","AA_Arch_Bac","AA_Arch_Bac_roundof","TAX"
"53","Otu00014","LC-3m-E1",749,3,95666.66667,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acI","acI_unclassified",0.0247644238717143,2369.12988380989,2369,"Actinobacteria|acI_unclassified"
"54","Otu00022","LC-11m-E1",743,11,104333.3333,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","bacI","bacI-A",0.030045695337458,3134.76754587327,3135,"Bacteroidetes|bacI-A"
"55","Otu00036","Cadagno7m-E2",739,7,157333.3333,"Bacteria","Verrucomicrobia","Verrucomicrobiae","uncultured","uncultured_fa","uncultured_ge",0.0323966507386787,5097.07304847223,5097,"Verrucomicrobia|uncultured_ge"
"56","Otu00007","LC-11m-E1",697,11,104333.3333,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acI","acI-A",0.02818553115775,2940.69041651907,2941,"Actinobacteria|acI-A"
"57","Otu00022","LC-9m-E1",686,9,73000,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","bacI","bacI-A",0.0301101698634947,2198.04240003511,2198,"Bacteroidetes|bacI-A"
"58","Otu00012","LC-17m-E1",675,17,434666.6667,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_unclassified",0.0396429200681271,17231.4559242673,17231,"Firmicutes|Erysipelotrichaceae_unclassified"
"59","Otu00012","LC-19m-E1",672,19,397000,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_unclassified",0.0390266566002671,15493.5826703061,15494,"Firmicutes|Erysipelotrichaceae_unclassified"
"60","Otu00019","LC-3m-E1",667,3,95666.66667,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","bacVI","unclassified",0.0220532319391635,2109.75918892015,2110,"Bacteroidetes|unclassified"
"61","Otu00043","LC-11m-E1",648,11,104333.3333,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","bacV","unclassified",0.0262040519228436,2733.95608307655,2734,"Bacteroidetes|unclassified"
"62","Otu00002","LC-13m-E1",633,13,95333.33333,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acI","acI-B",0.0378928464531577,3612.45136174139,3612,"Actinobacteria|acI-B"
"63","Otu00045","LC-3m-E1",631,3,95666.66667,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","bacV","unclassified",0.0208629525541412,1995.88912774905,1996,"Bacteroidetes|unclassified"
"64","Otu00005","LC-3m-E1",628,3,95666.66667,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","betI","betI-B",0.0207637626053893,1986.39995598479,1986,"Proteobacteria|betI-B"
"65","Otu00004","LC-13m-E1",627,13,95333.33333,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","Lentimicrobiaceae_ge",0.0375336725531278,3578.2101166064,3578,"Bacteroidetes|Lentimicrobiaceae_ge"
"66","Otu00009","LC-9m-E1",621,9,73000,"Bacteria","Verrucomicrobia","Verrucomicrobiae","uncultured","uncultured_fa","uncultured_ge",0.0272571654303647,1989.77307641663,1990,"Verrucomicrobia|uncultured_ge"
"67","Otu00023","LC-13m-E1",617,13,95333.33333,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","betIV","betIV-A",0.0369350493864113,3521.14137471476,3521,"Proteobacteria|betIV-A"
"68","Otu00031","LC-5m-E1",615,5,86666.66667,"Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","acIV","acIV-A",0.0435583256604575,3775.05489071818,3775,"Actinobacteria|acIV-A"
"69","Otu00032","LC-11m-E1",612,11,104333.3333,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acI","acI-A",0.0247482712604634,2582.06963401674,2582,"Actinobacteria|acI-A"
"70","Otu00051","LC-3m-E1",612,3,95666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",0.0202347495453794,1935.79103990875,1936,"Cyanobacteria|Chloroplast_ge"
"71","Otu00028","LC-5m-E1",608,5,86666.66667,"Bacteria","Armatimonadetes","Armatimonadia","Armatimonadales","Armatimonadaceae","Armatimonas",0.043062539839932,3732.08678627098,3732,"Armatimonadetes|Armatimonas"
"72","Otu00037","LC-13m-E1",601,13,95333.33333,"Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonaceae","uncultured",0.0359772523196648,3429.83138768812,3430,"Proteobacteria|uncultured"
"73","Otu00059","Cadagno7m-E2",599,7,157333.3333,"Bacteria","Chloroflexi","SL56_marine_group","SL56_marine_group_or","SL56_marine_group_fa","SL56_marine_group_ge",0.0262592608829074,4131.45704470212,4131,"Chloroflexi|SL56_marine_group_ge"
"74","Otu00031","LC-9m-E1",597,9,73000,"Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","acIV","acIV-A",0.0262037484089014,1912.8736338498,1913,"Actinobacteria|acIV-A"
"75","Otu00048","LC-11m-E1",590,11,104333.3333,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","bacVI","unclassified",0.0238586275223422,2489.25013736908,2489,"Bacteroidetes|unclassified"
"76","Otu00007","LC-9m-E1",588,9,73000,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acI","acI-A",0.0258087170258526,1884.03634288724,1884,"Actinobacteria|acI-A"
"77","Otu00019","LC-9m-E1",585,9,73000,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","bacVI","unclassified",0.0256770398981697,1874.42391256639,1874,"Bacteroidetes|unclassified"
"78","Otu00039","LC-3m-E1",580,3,95666.66667,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Luna1","Luna1-A",0.0191767234253596,1834.57320775665,1835,"Actinobacteria|Luna1-A"
"79","Otu00013","LC-19m-E1",572,19,397000,"Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","gamI","unclassified",0.0332191184157036,13187.9900110343,13188,"Proteobacteria|unclassified"
"80","Otu00009","LC-5m-E1",568,5,86666.66667,"Bacteria","Verrucomicrobia","Verrucomicrobiae","uncultured","uncultured_fa","uncultured_ge",0.0402294780083575,3486.55476085842,3487,"Verrucomicrobia|uncultured_ge"
"81","Otu00019","Cadagno7m-E2",568,7,157333.3333,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","bacVI","unclassified",0.0249002674148437,3917.64207243874,3918,"Bacteroidetes|unclassified"
"82","Otu00008","LC-9m-E1",565,9,73000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",0.0247991923802835,1810.3410437607,1810,"Cyanobacteria|Oxyphotobacteria_unclassified"
"83","Otu00045","LC-9m-E1",565,9,73000,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","bacV","unclassified",0.0247991923802835,1810.3410437607,1810,"Bacteroidetes|unclassified"
