OTU,Sample,Abundance,depth_m,avg_cells_ml,Kingdom,Phylum,Class,Order,Family,Genus,cells_ml
Otu00015,LC-3m-E1,0.028786976,3,95666.66667,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-A,2754
Otu00035,LC-5m-E1,0.028401445,5,86666.66667,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betII,Pnec,2461
Otu00007,LC-11m-E1,0.028201497,11,104333.3333,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-A,2942
Otu00022,LC-3m-E1,0.028092118,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,bacI,bacI-A,2687
Otu00042,LC-13m-E1,0.027689542,13,95333.33333,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,2640
Otu00026,LC-5m-E1,0.0274807,5,86666.66667,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betIV,betIV-A,2382
Otu00013,LC-17m-E1,0.027444963,17,434666.6667,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,gamI,unclassified,11929
Otu00005,LC-13m-E1,0.027329937,13,95333.33333,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betI,betI-B,2605
Otu00009,LC-9m-E1,0.027287108,9,73000,Bacteria,Verrucomicrobia,Verrucomicrobiae,uncultured,uncultured_fa,uncultured_ge,1992
Otu00013,LC-15point5m-E1,0.02720504,15.5,585000,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,gamI,unclassified,15915
Otu00059,Cadagno7m-E2,0.026270778,7,157333.3333,Bacteria,Chloroflexi,SL56_marine_group,SL56_marine_group_or,SL56_marine_group_fa,SL56_marine_group_ge,4133
Otu00020,LC-17m-E1,0.026264534,17,434666.6667,Bacteria,Bacteroidetes,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,11416
Otu00031,LC-9m-E1,0.026232534,9,73000,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,acIV,acIV-A,1915
Otu00043,LC-11m-E1,0.026218895,11,104333.3333,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacV,unclassified,2736
Otu00031,LC-3m-E1,0.026139898,3,95666.66667,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,acIV,acIV-A,2501
Otu00007,LC-9m-E1,0.025837068,9,73000,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-A,1886
Otu00040,LC-5m-E1,0.025710036,5,86666.66667,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,alfV,alfV-A,2228
Otu00019,LC-9m-E1,0.025705247,9,73000,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,bacVI,unclassified,1876
Otu00012,LC-13m-E1,0.025352113,13,95333.33333,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelotrichaceae_unclassified,2417
Otu00020,LC-19m-E1,0.024938675,19,397000,Bacteria,Bacteroidetes,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,9901
Otu00019,Cadagno7m-E2,0.024911188,7,157333.3333,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,bacVI,unclassified,3919
Otu00008,LC-9m-E1,0.024826435,9,73000,Bacteria,Cyanobacteria,Oxyphotobacteria,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,1812
Otu00045,LC-9m-E1,0.024826435,9,73000,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacV,unclassified,1812
Otu00014,LC-3m-E1,0.02478327,3,95666.66667,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI_unclassified,2371
Otu00032,LC-11m-E1,0.02476229,11,104333.3333,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-A,2584
Otu00048,LC-11m-E1,0.023872142,11,104333.3333,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,bacVI,unclassified,2491
Otu00025,LC-9m-E1,0.023552157,9,73000,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acTH1,acTH1-A,1719
Otu00032,Cadagno7m-E2,0.023376168,7,157333.3333,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-A,3678
Otu00014,LC-5m-E1,0.023301934,5,86666.66667,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI_unclassified,2020
Otu00018,LC-19m-E1,0.023128139,19,397000,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacII,bacII-A,9182
Otu00018,LC-17m-E1,0.023077377,17,434666.6667,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacII,bacII-A,10031
Otu00020,Cadagno15m-E2,0.023041002,15,905000,Bacteria,Bacteroidetes,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,20852
Otu00019,LC-5m-E1,0.022947801,5,86666.66667,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,bacVI,unclassified,1989
Otu00014,LC-13m-E1,0.022415343,13,95333.33333,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI_unclassified,2137
Otu00007,Cadagno7m-E2,0.02236744,7,157333.3333,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-A,3519
Otu00005,LC-17m-E1,0.022192056,17,434666.6667,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betI,betI-B,9646
Otu00019,LC-3m-E1,0.022070015,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,bacVI,unclassified,2111
Otu00047,LC-11m-E1,0.021808618,11,104333.3333,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,bacIII,bacIII-A,2275
Otu00005,LC-19m-E1,0.021784838,19,397000,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betI,betI-B,8649
Otu00038,LC-11m-E1,0.021727696,11,104333.3333,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betI,betI-A,2267
Otu00018,Cadagno15m-E2,0.021398881,15,905000,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacII,bacII-A,19366
Otu00047,Cadagno7m-E2,0.021358712,7,157333.3333,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,bacIII,bacIII-A,3360
Otu00025,Cadagno7m-E2,0.021314855,7,157333.3333,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acTH1,acTH1-A,3354
Otu00040,LC-9m-E1,0.021267247,9,73000,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,alfV,alfV-A,1553
Otu00015,LC-9m-E1,0.020915722,9,73000,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-A,1527
Otu00007,LC-15point5m-E1,0.020904926,15.5,585000,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-A,12229
Otu00045,LC-3m-E1,0.02087883,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacV,unclassified,1997
Otu00005,LC-3m-E1,0.020779565,3,95666.66667,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betI,betI-B,1988
Otu00007,LC-17m-E1,0.020539456,17,434666.6667,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-A,8928
