OTU,Sample,OTU Count,Depth,Average cells/ml,Kingdom,Phylum,Class,Order,Family,Genus,OTU Relative Abundance,Absolute Abundance,Absolute Abundance round off,Phylum|Genus
Otu03446,LC-11m-E1,1,11,104333.3333,Archaea,Nanoarchaeaeota,Nanoarchaeaeota_unclassified,Nanoarchaeaeota_unclassified,Nanoarchaeaeota_unclassified,Nanoarchaeaeota_unclassified,4.04E-05,4.219068029,4,Nanoarchaeaeota|Nanoarchaeaeota_unclassified
Otu00276,LC-13m-E1,2,13,95333.33333,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanoregula,0.0001197246333,11.41374838,11,Euryarchaeota|Methanoregula
Otu00326,LC-13m-E1,2,13,95333.33333,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,0.0001197246333,11.41374838,11,Nanoarchaeaeota|Woesearchaeia_ge
Otu01953,LC-13m-E1,2,13,95333.33333,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,0.0001197246333,11.41374838,11,Nanoarchaeaeota|Woesearchaeia_ge
Otu01980,LC-13m-E1,2,13,95333.33333,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,0.0001197246333,11.41374838,11,Nanoarchaeaeota|Woesearchaeia_ge
Otu01981,LC-13m-E1,2,13,95333.33333,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,0.0001197246333,11.41374838,11,Nanoarchaeaeota|Woesearchaeia_ge
Otu00473,LC-13m-E1,1,13,95333.33333,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,5.99E-05,5.706874189,6,Nanoarchaeaeota|Woesearchaeia_ge
Otu00519,LC-13m-E1,1,13,95333.33333,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,5.99E-05,5.706874189,6,Nanoarchaeaeota|Woesearchaeia_ge
Otu00627,LC-13m-E1,1,13,95333.33333,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,5.99E-05,5.706874189,6,Nanoarchaeaeota|Woesearchaeia_ge
Otu00729,LC-13m-E1,1,13,95333.33333,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,5.99E-05,5.706874189,6,Nanoarchaeaeota|Woesearchaeia_ge
Otu00754,LC-13m-E1,1,13,95333.33333,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,5.99E-05,5.706874189,6,Nanoarchaeaeota|Woesearchaeia_ge
Otu00922,LC-13m-E1,1,13,95333.33333,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,5.99E-05,5.706874189,6,Nanoarchaeaeota|Woesearchaeia_ge
Otu02680,LC-13m-E1,1,13,95333.33333,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,5.99E-05,5.706874189,6,Nanoarchaeaeota|Woesearchaeia_ge
Otu02976,LC-13m-E1,1,13,95333.33333,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,5.99E-05,5.706874189,6,Nanoarchaeaeota|Woesearchaeia_ge
Otu02988,LC-13m-E1,1,13,95333.33333,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,5.99E-05,5.706874189,6,Nanoarchaeaeota|Woesearchaeia_ge
Otu02989,LC-13m-E1,1,13,95333.33333,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,5.99E-05,5.706874189,6,Nanoarchaeaeota|Woesearchaeia_ge
Otu02991,LC-13m-E1,1,13,95333.33333,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,5.99E-05,5.706874189,6,Nanoarchaeaeota|Woesearchaeia_ge
Otu03008,LC-13m-E1,1,13,95333.33333,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,5.99E-05,5.706874189,6,Nanoarchaeaeota|Woesearchaeia_ge
Otu03196,LC-13m-E1,1,13,95333.33333,Archaea,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,5.99E-05,5.706874189,6,Archaea_unclassified|Archaea_unclassified
Otu03445,LC-13m-E1,1,13,95333.33333,Archaea,Nanoarchaeaeota,Nanoarchaeaeota_unclassified,Nanoarchaeaeota_unclassified,Nanoarchaeaeota_unclassified,Nanoarchaeaeota_unclassified,5.99E-05,5.706874189,6,Nanoarchaeaeota|Nanoarchaeaeota_unclassified
Otu00276,Cadagno15m-E2,5,15,905000,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanoregula,0.0002560426055,231.718558,232,Euryarchaeota|Methanoregula
Otu00326,Cadagno15m-E2,4,15,905000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,0.0002048340844,185.3748464,185,Nanoarchaeaeota|Woesearchaeia_ge
Otu00434,Cadagno15m-E2,2,15,905000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,0.0001024170422,92.68742319,93,Nanoarchaeaeota|Woesearchaeia_ge
Otu00473,Cadagno15m-E2,2,15,905000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,0.0001024170422,92.68742319,93,Nanoarchaeaeota|Woesearchaeia_ge
Otu00625,Cadagno15m-E2,2,15,905000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,0.0001024170422,92.68742319,93,Nanoarchaeaeota|Woesearchaeia_ge
Otu01006,Cadagno15m-E2,2,15,905000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,0.0001024170422,92.68742319,93,Nanoarchaeaeota|Woesearchaeia_ge
Otu01041,Cadagno15m-E2,2,15,905000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,0.0001024170422,92.68742319,93,Nanoarchaeaeota|Woesearchaeia_ge
Otu01396,Cadagno15m-E2,2,15,905000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,0.0001024170422,92.68742319,93,Nanoarchaeaeota|Woesearchaeia_ge
Otu01636,Cadagno15m-E2,2,15,905000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,0.0001024170422,92.68742319,93,Nanoarchaeaeota|Woesearchaeia_ge
Otu00519,Cadagno15m-E2,1,15,905000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,5.12E-05,46.34371159,46,Nanoarchaeaeota|Woesearchaeia_ge
Otu00729,Cadagno15m-E2,1,15,905000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,5.12E-05,46.34371159,46,Nanoarchaeaeota|Woesearchaeia_ge
Otu00754,Cadagno15m-E2,1,15,905000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,5.12E-05,46.34371159,46,Nanoarchaeaeota|Woesearchaeia_ge
Otu00840,Cadagno15m-E2,1,15,905000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,5.12E-05,46.34371159,46,Nanoarchaeaeota|Woesearchaeia_ge
Otu01054,Cadagno15m-E2,1,15,905000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,5.12E-05,46.34371159,46,Nanoarchaeaeota|Woesearchaeia_ge
Otu01056,Cadagno15m-E2,1,15,905000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,5.12E-05,46.34371159,46,Nanoarchaeaeota|Woesearchaeia_ge
Otu01072,Cadagno15m-E2,1,15,905000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,5.12E-05,46.34371159,46,Nanoarchaeaeota|Woesearchaeia_ge
Otu01399,Cadagno15m-E2,1,15,905000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,5.12E-05,46.34371159,46,Nanoarchaeaeota|Woesearchaeia_ge
Otu01485,Cadagno15m-E2,1,15,905000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,5.12E-05,46.34371159,46,Nanoarchaeaeota|Woesearchaeia_ge
Otu01618,Cadagno15m-E2,1,15,905000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,5.12E-05,46.34371159,46,Nanoarchaeaeota|Woesearchaeia_ge
Otu01638,Cadagno15m-E2,1,15,905000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,5.12E-05,46.34371159,46,Nanoarchaeaeota|Woesearchaeia_ge
Otu01670,Cadagno15m-E2,1,15,905000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,5.12E-05,46.34371159,46,Nanoarchaeaeota|Woesearchaeia_ge
Otu01689,Cadagno15m-E2,1,15,905000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,5.12E-05,46.34371159,46,Nanoarchaeaeota|Woesearchaeia_ge
Otu01728,Cadagno15m-E2,1,15,905000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,5.12E-05,46.34371159,46,Nanoarchaeaeota|Woesearchaeia_ge
Otu02099,Cadagno15m-E2,1,15,905000,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanolinea,5.12E-05,46.34371159,46,Euryarchaeota|Methanolinea
Otu02176,Cadagno15m-E2,1,15,905000,Archaea,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,5.12E-05,46.34371159,46,Archaea_unclassified|Archaea_unclassified
Otu02810,Cadagno15m-E2,1,15,905000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,5.12E-05,46.34371159,46,Nanoarchaeaeota|Woesearchaeia_ge
Otu02811,Cadagno15m-E2,1,15,905000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,5.12E-05,46.34371159,46,Nanoarchaeaeota|Woesearchaeia_ge
Otu02812,Cadagno15m-E2,1,15,905000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,5.12E-05,46.34371159,46,Nanoarchaeaeota|Woesearchaeia_ge
