OTU,Sample,Abundance,depth_m,Water_Layer,avg_cells_ml,Kingdom,Phylum,Abundance_P,AA_Phylum
Otu00139,LC-17m-E1,0.003194132,17,Monimolimnion,434666.6667,Bacteria,Omnitrophicaeota,0.319413226,1388.382823
Otu00272,LC-17m-E1,0.001774518,17,Monimolimnion,434666.6667,Bacteria,Lentisphaerae,0.177451792,771.3237904
Otu00238,LC-17m-E1,0.001242163,17,Monimolimnion,434666.6667,Bacteria,Cloacimonetes,0.124216255,539.9266533
Otu00028,LC-17m-E1,0.001123861,17,Monimolimnion,434666.6667,Bacteria,Armatimonadetes,0.112386135,488.5050673
Otu00327,LC-17m-E1,0.000709807,17,Monimolimnion,434666.6667,Bacteria,Chlamydiae,0.070980717,308.5295162
Otu00363,LC-17m-E1,0.000354904,17,Monimolimnion,434666.6667,Bacteria,Dependentiae,0.035490358,154.2647581
Otu00001,LC-19m-E1,0.37100076,19,Monimolimnion,397000,Bacteria,Proteobacteria,37.10007604,147287.3019
Otu00003,LC-19m-E1,0.252500439,19,Monimolimnion,397000,Bacteria,Bacteroidetes,25.25004387,100242.6742
Otu00006,LC-19m-E1,0.100602445,19,Monimolimnion,397000,Bacteria,Cyanobacteria,10.06024449,39939.17061
Otu00012,LC-19m-E1,0.066736854,19,Monimolimnion,397000,Bacteria,Firmicutes,6.673685442,26494.5312
Otu00009,LC-19m-E1,0.046206937,19,Monimolimnion,397000,Bacteria,Verrucomicrobia,4.620693689,18344.15395
Otu00002,LC-19m-E1,0.037433468,19,Monimolimnion,397000,Bacteria,Actinobacteria,3.743346786,14861.08674
Otu00072,LC-19m-E1,0.030824121,19,Monimolimnion,397000,Bacteria,Patescibacteria,3.082412119,12237.17611
Otu00069,LC-19m-E1,0.015792244,19,Monimolimnion,397000,Bacteria,Acidobacteria,1.579224425,6269.520969
Otu00066,LC-19m-E1,0.015558285,19,Monimolimnion,397000,Bacteria,Planctomycetes,1.555828508,6176.639176
Otu00100,LC-19m-E1,0.011697959,19,Monimolimnion,397000,Bacteria,Spirochaetes,1.169795871,4644.089606
Otu00092,LC-19m-E1,0.011054571,19,Monimolimnion,397000,Bacteria,Kiritimatiellaeota,1.105457098,4388.664678
Otu00141,LC-19m-E1,0.010879102,19,Monimolimnion,397000,Bacteria,Epsilonbacteraeota,1.08791016,4319.003334
Otu00059,LC-19m-E1,0.010352693,19,Monimolimnion,397000,Bacteria,Chloroflexi,1.035269345,4110.019302
Otu00218,LC-19m-E1,0.007486694,19,Monimolimnion,397000,Bacteria,Bacteria_unclassified,0.748669357,2972.217348
Otu00139,LC-19m-E1,0.005848979,19,Monimolimnion,397000,Bacteria,Omnitrophicaeota,0.584897935,2322.044803
Otu00272,LC-19m-E1,0.001813184,19,Monimolimnion,397000,Bacteria,Lentisphaerae,0.18131836,719.833889
Otu00238,LC-19m-E1,0.001462245,19,Monimolimnion,397000,Bacteria,Cloacimonetes,0.146224484,580.5112008
Otu00028,LC-19m-E1,0.001286775,19,Monimolimnion,397000,Bacteria,Armatimonadetes,0.128677546,510.8498567
Otu00327,LC-19m-E1,0.001286775,19,Monimolimnion,397000,Bacteria,Chlamydiae,0.128677546,510.8498567
