"","OTU","Sample","Abundance","depth_m","avg_cells_ml","Kingdom","Phylum","Class","Order","Family","Genus","Abundance_P","AA_Genus","Phylum_Genus"
"64","Otu00007","LC-15point5m-E1",0.0337110887964424,15.5,585000,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acI","acI-A",3.37110887964424,19720.9869459188,"Actinobacteria|acI-A"
"109","Otu00013","LC-19m-E1",0.0334561618997485,19,397000,"Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","gamI","unclassified",3.34561618997485,13282.0962742002,"Proteobacteria|unclassified"
"159","Otu00022","LC-5m-E1",0.0332884765210001,5,86666.66667,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","bacI","bacI-A",3.32884765210001,2885.00129859764,"Bacteroidetes|bacI-A"
"115","Otu00014","Cadagno7m-E2",0.0332017543859649,7,157333.3333,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acI","acI_unclassified",3.32017543859649,5223.74268895175,"Actinobacteria|acI_unclassified"
"218","Otu00035","LC-5m-E1",0.033075996883632,5,86666.66667,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","betII","Pnec",3.3075996883632,2866.58639669169,"Proteobacteria|Pnec"
"44","Otu00005","LC-15point5m-E1",0.0325634772629465,15.5,585000,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","betI","betI-B",3.25634772629465,19049.6341988237,"Proteobacteria|betI-B"
"62","Otu00007","LC-17m-E1",0.0305808588666746,17,434666.6667,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acI","acI-A",3.05808588666746,13292.4799884006,"Actinobacteria|acI-A"
"154","Otu00022","LC-9m-E1",0.0301498703467675,9,73000,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","bacI","bacI-A",3.01498703467675,2200.94053531402,"Bacteroidetes|bacI-A"
"152","Otu00022","LC-11m-E1",0.0300639313749292,11,104333.3333,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","bacI","bacI-A",3.00639313749292,3136.67017244881,"Bacteroidetes|bacI-A"
"250","Otu00039","LC-5m-E1",0.0291805368652171,5,86666.66667,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Luna1","Luna1-A",2.91805368652171,2528.97986174942,"Actinobacteria|Luna1-A"
"25","Otu00003","LC-19m-E1",0.0286015090366731,19,397000,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","bacII","bacII-A",2.86015090366731,11354.7990875592,"Bacteroidetes|bacII-A"
"143","Otu00020","LC-17m-E1",0.0285697385543594,17,434666.6667,"Bacteria","Bacteroidetes","Chlorobia","Chlorobiales","Chlorobiaceae","Chlorobium",2.85697385543594,12418.3130259139,"Bacteroidetes|Chlorobium"
"157","Otu00022","LC-3m-E1",0.0280921183243994,3,95666.66667,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","bacI","bacI-A",2.80921183243994,2687.47931979452,"Bacteroidetes|bacI-A"
"174","Otu00026","LC-5m-E1",0.0276223528578511,5,86666.66667,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","betIV","betIV-A",2.76223528578511,2393.93724777251,"Proteobacteria|betIV-A"
"22","Otu00003","Cadagno15m-E2",0.0275695656638259,15,905000,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","bacII","bacII-A",2.75695656638259,24950.4569257624,"Bacteroidetes|bacII-A"
"139","Otu00019","LC-13m-E1",0.0275163359510821,13,95333.33333,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","bacVI","unclassified",2.75163359510821,2623.22402724477,"Bacteroidetes|unclassified"
"106","Otu00013","LC-17m-E1",0.0275050278007808,17,434666.6667,"Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","gamI","unclassified",2.75050278007808,11955.5187516562,"Proteobacteria|unclassified"
"46","Otu00005","LC-13m-E1",0.0273364906180685,13,95333.33333,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","betI","betI-B",2.73364906180685,2606.07877216474,"Proteobacteria|betI-B"
"110","Otu00013","LC-15point5m-E1",0.0272557739205279,15.5,585000,"Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","gamI","unclassified",2.72557739205279,15944.6277435088,"Proteobacteria|unclassified"
"248","Otu00039","LC-3m-E1",0.0272318178810138,3,95666.66667,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Luna1","Luna1-A",2.72318178810138,2605.1772440411,"Actinobacteria|Luna1-A"
"27","Otu00003","LC-17m-E1",0.0272092748136756,17,434666.6667,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","bacII","bacII-A",2.72092748136756,11826.9647865846,"Bacteroidetes|bacII-A"
"268","Otu00045","LC-13m-E1",0.0264972123973383,13,95333.33333,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","bacV","unclassified",2.64972123973383,2526.06758179126,"Bacteroidetes|unclassified"
"351","Otu00059","Cadagno7m-E2",0.0262719298245614,7,157333.3333,"Bacteria","Chloroflexi","SL56_marine_group","SL56_marine_group_or","SL56_marine_group_fa","SL56_marine_group_ge",2.62719298245614,4133.45029152193,"Chloroflexi|SL56_marine_group_ge"
"191","Otu00031","LC-9m-E1",0.0262382982463851,9,73000,"Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","acIV","acIV-A",2.62382982463851,1915.39577198611,"Actinobacteria|acIV-A"
"192","Otu00031","LC-3m-E1",0.0261398980874859,3,95666.66667,"Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","acIV","acIV-A",2.61398980874859,2500.71691712329,"Actinobacteria|acIV-A"
"59","Otu00006","LC-9m-E1",0.0257548455148772,9,73000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",2.57548455148772,1880.10372258603,"Cyanobacteria|Chloroplast_ge"
"145","Otu00020","LC-19m-E1",0.0257355091536527,19,397000,"Bacteria","Bacteroidetes","Chlorobia","Chlorobiales","Chlorobiaceae","Chlorobium",2.57355091536527,10216.9971340001,"Bacteroidetes|Chlorobium"
"257","Otu00040","LC-5m-E1",0.0257100361215384,5,86666.66667,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","alfV","alfV-A",2.57100361215383,2228.20313061902,"Proteobacteria|alfV-A"
"97","Otu00012","LC-13m-E1",0.0253581919549188,13,95333.33333,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_unclassified",2.53581919549188,2417.4809662844,"Firmicutes|Erysipelotrichaceae_unclassified"
"144","Otu00020","Cadagno15m-E2",0.0252592668651812,15,905000,"Bacteria","Bacteroidetes","Chlorobia","Chlorobiales","Chlorobiaceae","Chlorobium",2.52592668651812,22859.636512989,"Bacteroidetes|Chlorobium"
"339","Otu00057","LC-3m-E1",0.0252465091655086,3,95666.66667,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter",2.52465091655086,2415.24937691781,"Verrucomicrobia|Luteolibacter"
