Press_CTD1_29,Depth_m_CTD1_29,Temp_CTD1_29,Cond_CTD1_29,Chl_A_CTD1_29,Turb_CTD1_29,DO_mg_CTD1_29,pH_CTD1_29
6.324,9.224,11.277,0.193,10.117,0.408,4.969,8.2
6.39,9.29,11.198,0.193,10.27,0.346,4.961,8.2
6.455,9.355,11.127,0.194,10.454,0.315,4.961,8.19
6.455,9.355,11.062,0.194,10.669,0.346,4.958,8.19
6.472,9.372,11.002,0.194,11.65,0.377,4.955,8.19
6.455,9.355,10.946,0.195,13.857,0.346,4.953,8.18
6.488,9.388,10.892,0.195,14.869,0.346,4.958,8.18
6.537,9.437,10.824,0.195,14.93,0.346,4.994,8.18
6.57,9.47,10.773,0.196,14.593,0.346,4.995,8.17
6.587,9.487,10.722,0.196,14.225,0.315,4.996,8.17
6.636,9.536,10.67,0.196,13.918,0.346,5.047,8.17
6.603,9.503,10.617,0.196,13.673,0.346,5.057,8.16
6.636,9.536,10.567,0.196,13.52,0.346,5.059,8.16
6.668,9.568,10.522,0.196,13.397,0.346,5.088,8.16
6.668,9.568,10.484,0.196,13.367,0.346,5.117,8.16
6.685,9.585,10.452,0.196,13.336,0.346,5.121,8.15
6.718,9.618,10.422,0.197,13.275,0.5,5.124,8.15
6.734,9.634,10.39,0.197,13.091,0.531,5.177,8.15
6.767,9.667,10.352,0.197,12.907,0.5,5.193,8.15
6.75,9.65,10.289,0.197,12.723,0.531,5.197,8.14
6.75,9.65,10.238,0.198,12.661,0.592,5.233,8.14
6.767,9.667,10.183,0.198,12.631,0.592,5.25,8.14
6.816,9.716,10.124,0.199,12.539,0.5,5.254,8.13
6.816,9.716,10.067,0.199,12.447,0.469,5.256,8.13
6.849,9.749,10.023,0.199,12.386,0.469,5.277,8.13
6.865,9.765,9.991,0.199,12.294,0.438,5.28,8.13
6.898,9.798,9.978,0.199,12.202,0.469,5.28,8.12
6.931,9.831,9.985,0.199,12.079,0.438,5.293,8.12
6.931,9.831,10,0.198,11.987,0.438,5.305,8.12
7.029,9.929,10.016,0.198,11.926,0.438,5.306,8.12
7.029,9.929,10.042,0.198,11.926,0.5,5.31,8.11
6.98,9.88,10.067,0.198,11.864,0.469,5.328,8.11
7.045,9.945,10.095,0.197,11.65,0.531,5.331,8.11
7.062,9.962,10.112,0.197,11.527,0.5,5.332,8.11
7.111,10.011,10.139,0.196,11.496,0.5,5.329,8.1
7.127,10.027,10.18,0.196,11.374,0.592,5.327,8.1
7.144,10.044,10.225,0.196,11.251,0.469,5.327,8.1
7.209,10.109,10.268,0.196,11.129,0.469,5.325,8.1
7.258,10.158,10.309,0.196,11.006,0.438,5.291,8.09
7.275,10.175,10.352,0.195,10.853,0.5,5.283,8.09
7.275,10.175,10.399,0.194,10.761,0.5,5.283,8.09
7.307,10.207,10.452,0.194,10.883,0.5,5.252,8.08
7.34,10.24,10.521,0.194,10.975,0.469,5.223,8.08
7.324,10.224,10.539,0.195,10.975,0.469,5.221,8.08
7.357,10.257,10.531,0.194,10.945,0.469,5.2,8.08
7.422,10.322,10.525,0.194,10.914,0.5,5.138,8.07
7.439,10.339,10.529,0.195,10.883,0.5,5.126,8.07
7.439,10.339,10.528,0.195,10.883,0.531,5.123,8.07
7.455,10.355,10.51,0.196,10.914,0.469,5.078,8.07
7.504,10.404,10.478,0.196,10.975,0.5,5.052,8.06
7.553,10.453,10.428,0.197,11.037,0.5,5.045,8.06
7.553,10.453,10.36,0.197,11.098,0.561,5.041,8.06
7.619,10.519,10.286,0.197,11.251,0.531,4.952,8.05
7.652,10.552,10.165,0.199,11.466,0.531,4.929,8.05
7.586,10.486,10.048,0.2,11.527,0.469,4.927,8.05
7.668,10.568,9.879,0.202,11.588,0.438,4.883,8.05
7.717,10.617,9.689,0.202,11.619,0.377,4.864,8.04
7.733,10.633,9.5,0.203,11.68,0.377,4.858,8.04
7.766,10.666,9.33,0.203,11.956,0.346,4.831,8.04
7.75,10.65,9.181,0.204,12.232,0.346,4.814,8.04
7.799,10.699,9.038,0.205,12.386,0.531,4.801,8.03
7.783,10.683,8.911,0.205,12.539,0.684,4.798,8.03
7.832,10.732,8.821,0.205,12.661,0.684,4.746,8.03
7.848,10.748,8.764,0.205,12.723,0.623,4.714,8.02
7.848,10.748,8.739,0.204,12.784,0.623,4.704,8.02
7.914,10.814,8.759,0.204,12.815,0.561,4.673,8.02
7.93,10.83,8.802,0.204,12.876,0.623,4.644,8.01
7.897,10.797,8.838,0.204,12.907,0.623,4.635,8.01
7.93,10.83,8.844,0.204,12.845,0.746,4.635,8.01
8.012,10.912,8.834,0.204,12.815,0.776,4.567,8.01
8.028,10.928,8.823,0.205,12.723,0.684,4.539,8
8.045,10.945,8.797,0.205,12.569,0.899,4.531,8
8.094,10.994,8.743,0.205,12.416,1.084,4.478,8
8.11,11.01,8.688,0.205,12.324,0.838,4.381,8
8.11,11.01,8.644,0.206,12.171,0.684,4.356,8
8.127,11.027,8.608,0.206,11.956,0.592,4.351,7.99
8.176,11.076,8.538,0.207,11.68,0.592,4.28,7.99
8.209,11.109,8.369,0.208,11.68,0.531,4.234,7.99
8.225,11.125,8.243,0.207,11.772,0.469,4.229,7.99
8.274,11.174,8.138,0.208,11.864,0.469,4.173,7.98
8.291,11.191,8.055,0.208,11.803,0.469,4.121,7.98
8.291,11.191,7.99,0.208,11.496,0.469,4.107,7.98
8.307,11.207,7.941,0.208,11.098,0.438,4.104,7.98
8.323,11.223,7.899,0.208,10.638,0.377,4.003,7.98
8.372,11.272,7.852,0.208,10.178,0.531,3.966,7.97
8.389,11.289,7.807,0.208,9.78,0.438,3.957,7.97
8.422,11.322,7.776,0.208,9.412,0.346,3.901,7.97
8.454,11.354,7.758,0.208,9.228,0.315,3.796,7.97
8.438,11.338,7.74,0.209,8.89,0.315,3.767,7.97
8.487,11.387,7.729,0.209,8.615,0.315,3.763,7.96
8.471,11.371,7.716,0.209,8.277,0.315,3.608,7.96
8.487,11.387,7.702,0.209,8.063,0.285,3.567,7.96
8.536,11.436,7.688,0.209,7.879,0.254,3.558,7.96
8.602,11.502,7.673,0.209,7.664,0.438,3.451,7.96
8.602,11.502,7.657,0.209,7.511,0.315,3.348,7.95
8.602,11.502,7.639,0.209,7.449,0.315,3.322,7.95
8.635,11.535,7.622,0.209,7.419,0.285,3.317,7.95
8.684,11.584,7.605,0.21,7.358,0.254,3.178,7.95
8.7,11.6,7.586,0.21,7.327,0.285,3.129,7.95
8.749,11.649,7.568,0.21,7.235,0.285,3.118,7.94
8.766,11.666,7.544,0.21,6.928,0.285,3.011,7.94
8.766,11.666,7.524,0.21,6.714,0.285,2.948,7.94
8.864,11.764,7.506,0.211,6.53,0.285,2.932,7.94
8.831,11.731,7.488,0.211,6.376,0.285,2.928,7.94
8.848,11.748,7.471,0.211,6.192,0.285,2.802,7.94
8.88,11.78,7.458,0.211,6.131,0.346,2.772,7.93
8.864,11.764,7.447,0.211,6.101,0.285,2.766,7.93
