"","Pressure_CTD2_29","Temperature_CTD2_29","Conductivity_CTD2_29","Oxygen_mg_L_CTD2_29","PAR_CTD2_29","Phycocyanin_CTD2_29","Depth_m_CTD2_29"
"421",-1.716,16.0731,0.1378,10.6,728.01196,2.75,0.174
"422",-1.715,16.0726,0.1378,10.6,728.19702,2.75,0.175
"423",-1.713,16.0718,0.138,10.6,727.57599,2.75,0.177
"424",-1.712,16.0724,0.1382,10.6,725.95135,2.75,0.178
"425",-1.712,16.072,0.1378,10.61,725.52203,2.69,0.178
"426",-1.712,16.072,0.138,10.61,726.87805,2.69,0.178
"427",-1.713,16.0716,0.1379,10.61,729.59143,2.67,0.177
"428",-1.711,16.0722,0.1377,10.62,732.27374,2.67,0.179
"429",-1.709,16.0722,0.1381,10.62,733.97607,2.67,0.181
"430",-1.708,16.0722,0.1377,10.63,734.8443,2.93,0.182
"431",-1.713,16.0728,0.1377,10.63,735.12042,2.93,0.177
"432",-1.711,16.0721,0.1383,10.63,735.40161,2.93,0.179
"433",-1.713,16.0723,0.1376,10.62,735.32538,2.68,0.177
"434",-1.712,16.0725,0.1377,10.62,734.98938,2.68,0.178
"435",-1.715,16.0724,0.1381,10.62,734.05237,2.68,0.175
"436",-1.718,16.0727,0.1379,10.61,732.35217,3.02,0.172
"437",-1.714,16.0728,0.1377,10.61,730.51587,3.02,0.176
"438",-1.712,16.0727,0.1377,10.61,728.83203,3.02,0.178
"439",-1.713,16.073,0.1383,10.62,727.39612,2.8,0.177
"440",-1.712,16.0731,0.1374,10.62,725.66565,2.8,0.178
"441",-1.708,16.073,0.1376,10.61,723.94257,2.8,0.182
"442",-1.708,16.073,0.138,10.61,722.54218,2.9,0.182
"443",-1.71,16.0728,0.1376,10.62,721.22253,2.9,0.18
"444",-1.708,16.0727,0.1376,10.62,719.34845,2.9,0.182
"445",-1.709,16.0727,0.1377,10.62,716.76971,2.88,0.181
"446",-1.707,16.0732,0.1384,10.63,713.62634,2.88,0.183
"447",-1.708,16.0727,0.1383,10.63,710.62573,3.04,0.182
"448",-1.708,16.0736,0.1376,10.63,708.15509,3.04,0.182
"449",-1.707,16.0736,0.1373,10.63,705.22778,3.04,0.183
"450",-1.704,16.0733,0.1377,10.63,701.90448,3.06,0.186
"451",-1.707,16.073,0.1374,10.63,698.98529,3.06,0.183
"452",-1.712,16.0724,0.138,10.64,696.61981,3.06,0.178
"453",-1.709,16.0717,0.138,10.64,694.81378,2.7,0.181
"454",-1.704,16.0717,0.1378,10.64,693.49487,2.7,0.186
"455",-1.706,16.0709,0.1375,10.65,691.94275,2.7,0.184
"456",-1.703,16.0709,0.1376,10.65,690.01172,2.9,0.187
"457",-1.708,16.0698,0.1378,10.65,688.23602,2.9,0.182
"458",-1.706,16.0692,0.1376,10.66,687.06073,2.9,0.184
"459",-1.707,16.0687,0.1375,10.66,686.73724,2.93,0.183
"460",-1.708,16.0683,0.1376,10.66,686.64471,2.93,0.182
"461",-1.711,16.0684,0.1376,10.66,686.15033,2.93,0.179
"462",-1.711,16.0689,0.1376,10.66,684.85138,2.95,0.179
"463",-1.711,16.0693,0.1382,10.65,683.05347,2.95,0.179
"464",-1.711,16.0691,0.1382,10.65,681.61169,2.95,0.179
"465",-1.709,16.0689,0.1376,10.65,680.75604,3.01,0.181
"466",-1.711,16.0687,0.1376,10.65,680.34973,3.01,0.179
"467",-1.71,16.0692,0.1379,10.65,679.59918,3.01,0.18
"468",-1.709,16.0697,0.1378,10.65,678.25134,2.81,0.181
"469",-1.709,16.0695,0.138,10.66,676.73114,2.81,0.181
"470",-1.708,16.0694,0.1379,10.66,675.38922,2.64,0.182
"471",-1.706,16.0694,0.1377,10.66,674.44995,2.64,0.184
"472",-1.706,16.0687,0.1384,10.66,673.97479,2.64,0.184
"473",-1.71,16.069,0.1384,10.67,673.54175,2.82,0.18
"474",-1.71,16.0687,0.1377,10.67,672.84381,2.82,0.18
"475",-1.709,16.0682,0.1384,10.67,671.88605,2.82,0.181
"476",-1.708,16.0686,0.1375,10.68,670.9801,2.69,0.182
"477",-1.712,16.0684,0.1381,10.68,670.63818,2.69,0.178
"478",-1.706,16.0681,0.1384,10.68,671.37457,2.69,0.184
"479",-1.706,16.0678,0.1387,10.68,673.22205,3.18,0.184
"480",-1.707,16.0687,0.1383,10.68,675.15308,3.18,0.183
"481",-1.705,16.0689,0.1376,10.68,676.42096,3.18,0.185
"482",-1.709,16.069,0.1373,10.69,676.87543,2.89,0.181
"483",-1.712,16.0682,0.1381,10.69,676.47943,2.89,0.178
"484",-1.714,16.0681,0.1377,10.69,675.07245,2.89,0.176
"485",-1.713,16.0691,0.1375,10.69,673.98065,2.87,0.177
"486",-1.716,16.0696,0.1372,10.69,674.85486,2.87,0.174
"487",-1.718,16.0697,0.1377,10.69,676.16266,2.87,0.172
"488",-1.72,16.0696,0.1377,10.69,675.74078,2.78,0.17
"489",-1.718,16.0695,0.1378,10.69,674.48621,2.78,0.172
"490",-1.719,16.07,0.1379,10.69,673.3197,3.1,0.171
"491",-1.711,16.07,0.1382,10.69,672.59363,3.1,0.179
"492",-1.713,16.0699,0.1379,10.69,672.07257,3.1,0.177
"493",-1.708,16.0701,0.1379,10.69,671.11334,2.35,0.182
"494",-1.71,16.0705,0.1381,10.69,669.784,2.35,0.18
"495",-1.712,16.0711,0.1378,10.69,668.02246,2.35,0.178
"496",-1.712,16.0709,0.1379,10.69,666.38379,2.9,0.178
"497",-1.712,16.0709,0.1379,10.69,665.38525,2.9,0.178
"498",-1.706,16.0721,0.1378,10.69,665.0448,2.9,0.184
"499",-1.711,16.0715,0.1378,10.69,664.89825,2.95,0.179
"500",-1.716,16.0714,0.1377,10.69,664.22174,2.95,0.174
"501",-1.711,16.071,0.1377,10.69,662.79108,2.95,0.179
"502",-1.714,16.0718,0.138,10.69,661.367,2.78,0.176
"503",-1.713,16.0717,0.1381,10.69,660.0658,2.78,0.177
"504",-1.716,16.0718,0.138,10.69,659.45886,2.78,0.174
"505",-1.709,16.0721,0.138,10.69,659.43518,2.83,0.181
"506",-1.713,16.0725,0.1378,10.69,659.48926,2.83,0.177
"507",-1.707,16.0726,0.138,10.69,659.12134,2.83,0.183
"508",-1.707,16.0726,0.138,10.69,658.08069,3.1,0.183
"509",-1.708,16.0728,0.1377,10.7,656.87421,3.1,0.182
"510",-1.706,16.0727,0.1378,10.7,656.36353,3.1,0.184
"511",-1.71,16.0724,0.1376,10.7,656.22363,2.7,0.18
"512",-1.71,16.0729,0.1379,10.7,656.15259,2.7,0.18
"513",-1.707,16.0729,0.1376,10.69,655.85944,3.05,0.183
"514",-1.712,16.0727,0.1378,10.7,655.03644,3.05,0.178
"515",-1.714,16.0727,0.1379,10.7,653.97137,3.05,0.176
"516",-1.711,16.0731,0.1375,10.7,653.15649,2.89,0.179
"517",-1.712,16.0727,0.138,10.7,652.57251,2.89,0.178
"518",-1.712,16.0732,0.1375,10.69,652.43329,2.89,0.178
"519",-1.712,16.0735,0.1377,10.69,652.50879,3.29,0.178
"520",-1.71,16.0728,0.1378,10.69,652.37262,3.29,0.18
"521",-1.708,16.0732,0.1377,10.69,651.60138,3.29,0.182
"522",-1.713,16.0729,0.1378,10.69,650.58807,2.56,0.177
"523",-1.712,16.0731,0.1379,10.69,649.73621,2.56,0.178
"524",-1.707,16.0735,0.1376,10.69,649.46307,2.56,0.183
"525",-1.705,16.0727,0.1378,10.69,649.70587,2.82,0.185
"526",-1.707,16.0734,0.1381,10.69,649.47119,2.82,0.183
"527",-1.713,16.0733,0.1376,10.69,648.7392,2.82,0.177
"528",-1.713,16.0732,0.1378,10.69,648.12268,3.22,0.177
"529",-1.714,16.0732,0.1378,10.69,648.62897,3.22,0.176
"530",-1.709,16.0733,0.1376,10.69,648.46753,3.22,0.181
"531",-1.707,16.0735,0.1379,10.69,647.80518,2.85,0.183
"532",-1.71,16.0734,0.1379,10.69,648.52161,2.85,0.18
"533",-1.711,16.0739,0.1378,10.68,649.10632,3,0.179
"534",-1.713,16.0739,0.1378,10.69,650.09003,3,0.177
"535",-1.712,16.0733,0.1378,10.68,650.2558,3,0.178
"536",-1.712,16.0738,0.1378,10.68,649.61261,3.1,0.178
"537",-1.715,16.0738,0.1376,10.69,648.35504,3.1,0.175
"538",-1.714,16.0739,0.138,10.69,646.32776,3.1,0.176
"539",-1.716,16.0736,0.138,10.69,644.51221,2.71,0.174
"540",-1.712,16.0739,0.1376,10.69,643.43597,2.71,0.178
"541",-1.717,16.0731,0.1378,10.69,643.0141,2.71,0.173
"542",-1.716,16.0737,0.1377,10.68,643.13696,2.71,0.174
"543",-1.717,16.0733,0.1379,10.68,642.49231,2.71,0.173
"544",-1.716,16.0734,0.1379,10.68,641.03271,2.71,0.174
"545",-1.714,16.0733,0.138,10.68,639.53094,2.74,0.176
"546",-1.719,16.0735,0.1375,10.68,638.9751,2.74,0.171
"547",-1.712,16.0731,0.1378,10.67,639.07501,2.74,0.178
"548",-1.709,16.0734,0.1376,10.67,639.26892,3.06,0.181
"549",-1.712,16.0731,0.1377,10.67,639.07275,3.06,0.178
"550",-1.713,16.0732,0.1375,10.67,638.14758,3.06,0.177
"551",-1.712,16.0732,0.1376,10.67,637.99139,2.76,0.178
"552",-1.712,16.0733,0.1375,10.67,638.74933,2.76,0.178
"553",-1.71,16.0732,0.1377,10.67,639.51685,2.76,0.18
"554",-1.713,16.0738,0.1377,10.67,640.51984,2.86,0.177
"555",-1.715,16.0738,0.1376,10.67,641.32361,2.86,0.175
"556",-1.709,16.0736,0.1374,10.67,641.84167,2.64,0.181
"557",-1.709,16.0739,0.1374,10.68,641.97198,2.64,0.181
"558",-1.712,16.0736,0.1377,10.67,641.93048,2.64,0.178
"559",-1.711,16.0739,0.1372,10.68,642.00085,3.02,0.179
"560",-1.709,16.0737,0.1374,10.68,642.32129,3.02,0.181
"561",-1.711,16.0739,0.1376,10.68,642.46564,3.02,0.179
"562",-1.71,16.0739,0.1376,10.68,642.27692,2.61,0.18
"563",-1.711,16.074,0.1377,10.68,642.01416,2.61,0.179
"564",-1.716,16.074,0.1379,10.68,641.70703,2.61,0.174
"565",-1.714,16.0742,0.1376,10.68,641.87433,3.28,0.176
"566",-1.717,16.0742,0.138,10.68,642.00977,3.28,0.173
"567",-1.714,16.074,0.1375,10.68,641.51678,3.28,0.176
"568",-1.713,16.0741,0.1377,10.68,641.06677,2.96,0.177
"569",-1.713,16.0739,0.1379,10.67,641.86609,2.96,0.177
"570",-1.713,16.0741,0.1378,10.67,642.88605,2.96,0.177
"571",-1.708,16.074,0.1375,10.67,642.29175,2.65,0.182
