"","Press..dbar._CTD1_28","Depth_m_CTD1_28","Temp_CTD1_28","pH_CTD1_28","Turb_FTU_CTD1_28","Cond_ms_p_cm_CTD1_28","DO_mg_l_CTD1_28","Chl_A_ug_p_l_CTD1_28"
"179",1.1,2.95,16.02,9.01,0.19,0.1362,9.26,0.89
"180",1.1,2.95,16.02,9.01,0.19,0.1373,9.25,0.89
"181",1.11,2.96,16.03,9.01,0.15,0.1362,9.25,1
"182",1.12,2.97,16.02,9.01,0.15,0.1373,9.26,1.05
"183",1.13,2.98,16.02,9.01,0.15,0.1362,9.26,1.03
"184",1.13,2.98,16.02,9.01,0.15,0.1362,9.27,1.05
"185",1.14,2.99,16.01,9.01,0.15,0.1362,9.26,1.11
"186",1.16,3.01,16.01,9.01,0.15,0.1373,9.27,1.09
"187",1.17,3.02,16,9.01,0.15,0.1362,9.27,1.08
"188",1.18,3.03,15.99,9.01,0.15,0.1362,9.27,1.14
"189",1.19,3.04,15.98,9,0.12,0.1362,9.26,1.13
"190",1.2,3.05,15.97,9,0.12,0.1362,9.26,1.09
"191",1.21,3.06,15.95,9,0.15,0.1362,9.26,1.03
"192",1.21,3.06,15.94,9,0.19,0.1362,9.26,1
"193",1.23,3.08,15.94,9,0.19,0.1362,9.26,0.97
"194",1.24,3.09,15.93,9,0.86,0.1362,9.26,0.98
"195",1.25,3.1,15.93,9,1.42,0.1362,9.27,1
"196",1.27,3.12,15.92,9,0.52,0.1362,9.27,0.98
"197",1.28,3.13,15.92,9,0.22,0.1362,9.26,0.98
"198",1.3,3.15,15.91,9,0.15,0.1362,9.26,0.99
"199",1.32,3.17,15.91,9,0.15,0.1362,9.25,0.98
"200",1.33,3.18,15.91,9,0.15,0.1362,9.25,0.96
"201",1.35,3.2,15.91,9,0.15,0.1362,9.25,0.94
"202",1.37,3.22,15.9,9,0.15,0.1362,9.25,0.93
"203",1.38,3.23,15.9,9,0.15,0.1362,9.25,0.92
"204",1.39,3.24,15.9,9,0.12,0.1362,9.24,0.94
"205",1.41,3.26,15.9,9,0.19,0.1362,9.24,0.98
"206",1.42,3.27,15.9,9,0.43,0.1362,9.24,1.04
"207",1.44,3.29,15.9,9,0.28,0.1362,9.24,1.05
"208",1.45,3.3,15.89,9,0.22,0.1362,9.24,1.03
"209",1.45,3.3,15.89,9,0.19,0.1362,9.24,1.02
"210",1.46,3.31,15.89,9,0.12,0.1362,9.24,0.98
"211",1.46,3.31,15.89,9,0.15,0.1362,9.24,0.98
"212",1.47,3.32,15.89,9,0.19,0.1362,9.22,0.97
"213",1.49,3.34,15.89,9,0.22,0.1362,9.22,1.02
"214",1.49,3.34,15.89,9,0.15,0.1362,9.22,1.1
"215",1.5,3.35,15.88,9,0.15,0.1362,9.23,1.12
"216",1.51,3.36,15.88,9,0.15,0.1362,9.21,1.1
"217",1.52,3.37,15.88,9,0.19,0.1362,9.21,1.06
"218",1.53,3.38,15.88,9,0.15,0.1362,9.21,1.02
"219",1.54,3.39,15.88,9,0.15,0.1362,9.21,0.97
"220",1.56,3.41,15.88,9,0.15,0.1362,9.2,0.93
"221",1.57,3.42,15.87,9,0.15,0.1362,9.21,0.91
"222",1.58,3.43,15.87,9,0.15,0.1362,9.21,0.9
"223",1.6,3.45,15.87,9,0.19,0.1362,9.2,0.9
"224",1.6,3.45,15.87,9,0.15,0.1362,9.2,0.88
"225",1.61,3.46,15.87,9,0.15,0.1351,9.19,0.89
"226",1.62,3.47,15.87,9,0.15,0.1362,9.19,0.93
"227",1.63,3.48,15.87,9,0.19,0.1362,9.2,1
"228",1.64,3.49,15.87,9,0.15,0.1362,9.2,1.02
"229",1.65,3.5,15.87,9,0.15,0.1362,9.19,1.03
"230",1.66,3.51,15.87,9,0.12,0.1362,9.19,1
"231",1.67,3.52,15.87,9,0.15,0.1362,9.19,1.02
"232",1.67,3.52,15.87,9,0.12,0.1362,9.2,1.06
"233",1.69,3.54,15.87,9,0.12,0.1362,9.18,1.03
"234",1.7,3.55,15.87,9,0.12,0.1362,9.18,0.99
"235",1.71,3.56,15.87,9,0.12,0.1373,9.18,1.01
"236",1.72,3.57,15.87,9,0.12,0.1362,9.17,1.04
"237",1.74,3.59,15.87,9,0.15,0.1362,9.17,1.04
"238",1.75,3.6,15.87,9,0.19,0.1362,9.18,1.03
"239",1.76,3.61,15.87,9,0.15,0.1362,9.18,1.04
"240",1.77,3.62,15.87,9,0.12,0.1362,9.18,1.09
"241",1.78,3.63,15.87,9,0.12,0.1362,9.18,1.1
"242",1.79,3.64,15.87,9,0.15,0.1362,9.17,1.11
"243",1.8,3.65,15.87,9,0.15,0.1362,9.17,1.13
"244",1.81,3.66,15.87,9,0.15,0.1362,9.17,1.08
"245",1.81,3.66,15.87,9,0.15,0.1362,9.17,1.11
"246",1.82,3.67,15.87,9,0.12,0.1362,9.17,1.2
"247",1.82,3.67,15.87,9,0.12,0.1362,9.17,1.27
"248",1.82,3.67,15.87,9,0.12,0.1362,9.17,1.25
"249",1.82,3.67,15.87,9,0.12,0.1362,9.17,1.18
"250",1.82,3.67,15.87,9,0.15,0.1362,9.16,1.09
"251",1.82,3.67,15.87,9,0.12,0.1362,9.16,1.05
"252",1.82,3.67,15.87,9,0.12,0.1362,9.16,1
"253",1.82,3.67,15.87,9,0.12,0.1362,9.17,0.96
"254",1.82,3.67,15.87,9,0.12,0.1362,9.17,1.02
"255",1.83,3.68,15.87,9,0.12,0.1351,9.17,1.05
"256",1.82,3.67,15.87,9,0.12,0.1362,9.17,1.09
"257",1.82,3.67,15.87,9,0.15,0.1362,9.17,1.1
"258",1.82,3.67,15.87,9,0.15,0.1362,9.17,1.07
"259",1.81,3.66,15.87,9,0.19,0.1362,9.17,1.03
"260",1.81,3.66,15.87,9,0.19,0.1362,9.17,0.99
"261",1.81,3.66,15.87,9,0.34,0.1362,9.15,0.96
"262",1.82,3.67,15.87,9,0.22,0.1362,9.15,0.96
"263",1.82,3.67,15.87,9,0.15,0.1362,9.15,0.96
"264",1.82,3.67,15.87,9,0.12,0.1362,9.15,0.94
"265",1.82,3.67,15.87,9,0.12,0.1351,9.16,0.95
"266",1.82,3.67,15.87,9,0.12,0.1362,9.16,0.98
"267",1.82,3.67,15.87,9,0.12,0.1362,9.16,0.99
"268",1.82,3.67,15.87,9,0.25,0.1362,9.15,1
"269",1.82,3.67,15.86,9,0.25,0.1362,9.14,0.99
"270",1.82,3.67,15.86,9,0.19,0.1351,9.15,0.97
"271",1.82,3.67,15.86,9,0.19,0.1362,9.15,0.95
"272",1.82,3.67,15.86,9,0.19,0.1362,9.16,0.95
"273",1.82,3.67,15.86,9,0.25,0.1362,9.16,0.99
"274",1.82,3.67,15.86,9,0.25,0.1362,9.15,1.27
"275",1.82,3.67,15.86,9,0.19,0.1362,9.15,1.38
"276",1.82,3.67,15.86,9,0.12,0.1362,9.14,1.35
"277",1.82,3.67,15.87,9,0.12,0.1351,9.14,1.26
"278",1.82,3.67,15.87,9,0.15,0.1362,9.14,1.2
"279",1.83,3.68,15.87,9,0.15,0.1362,9.14,1.32
"280",1.83,3.68,15.87,9,0.15,0.1351,9.15,1.35
"281",1.83,3.68,15.87,9,0.12,0.1362,9.15,1.32
"282",1.83,3.68,15.87,9,0.12,0.1362,9.15,1.25
"283",1.82,3.67,15.87,9,0.12,0.1362,9.15,1.17
"284",1.82,3.67,15.87,9,0.12,0.1362,9.15,1.09
"285",1.82,3.67,15.87,9,0.12,0.1362,9.14,1.03
"286",1.82,3.67,15.87,9,0.12,0.1362,9.14,0.99
"287",1.83,3.68,15.87,9,0.12,0.1362,9.15,0.95
"288",1.83,3.68,15.87,9,0.15,0.1362,9.15,0.95
"289",1.82,3.67,15.87,9,0.15,0.1362,9.15,0.97
"290",1.83,3.68,15.87,9,0.15,0.1362,9.15,0.98
"291",1.82,3.67,15.87,9,0.15,0.1362,9.14,1
"292",1.82,3.67,15.87,9,0.12,0.1362,9.14,1.02
"293",1.83,3.68,15.87,9,0.12,0.1362,9.14,1.02
"294",1.83,3.68,15.87,9,0.12,0.1362,9.14,1.02
"295",1.84,3.69,15.87,9,0.12,0.1362,9.14,1.01
"296",1.83,3.68,15.87,9,0.12,0.1362,9.14,0.98
"297",1.83,3.68,15.87,9,0.12,0.1362,9.14,0.98
"298",1.83,3.68,15.88,9,0.12,0.1362,9.14,1.01
"299",1.82,3.67,15.87,9,0.12,0.1362,9.14,1.02
"300",1.82,3.67,15.88,9,0.12,0.1362,9.14,1.01
"301",1.83,3.68,15.87,9,0.12,0.1362,9.14,1.01
"302",1.83,3.68,15.87,9,0.12,0.1362,9.14,0.99
"303",1.83,3.68,15.88,9,0.12,0.1362,9.14,0.97
"304",1.83,3.68,15.87,9,0.12,0.1362,9.15,0.97
"305",1.83,3.68,15.87,9,0.12,0.1362,9.15,0.99
"306",1.83,3.68,15.88,9,0.12,0.1362,9.14,1.02
"307",1.83,3.68,15.88,9,0.12,0.1362,9.14,1.05
"308",1.82,3.67,15.87,9,0.12,0.1362,9.16,1.06
"309",1.83,3.68,15.88,9,0.12,0.1362,9.16,1.1
"310",1.83,3.68,15.87,9,0.12,0.1362,9.15,1.17
"311",1.82,3.67,15.87,9,0.15,0.1362,9.15,1.3
"312",1.82,3.67,15.87,9,0.15,0.1362,9.16,1.49
"313",1.83,3.68,15.87,9,0.15,0.1362,9.16,1.55
"314",1.83,3.68,15.87,9,0.15,0.1362,9.15,1.43
