Press..dbar._CTD1_28,Depth_m_CTD1_28,Temp_CTD1_28,pH_CTD1_28,Turb_FTU_CTD1_28,Cond_ms_p_cm_CTD1_28,DO_mg_l_CTD1_28,Chl_A_ug_p_l_CTD1_28
1.82,3.67,15.87,9,0.12,0.1362,9.17,1.2
1.82,3.67,15.87,9,0.12,0.1362,9.17,1.27
1.82,3.67,15.87,9,0.12,0.1362,9.17,1.25
1.82,3.67,15.87,9,0.12,0.1362,9.17,1.18
1.82,3.67,15.87,9,0.15,0.1362,9.16,1.09
1.82,3.67,15.87,9,0.12,0.1362,9.16,1.05
1.82,3.67,15.87,9,0.12,0.1362,9.16,1
1.82,3.67,15.87,9,0.12,0.1362,9.17,0.96
1.82,3.67,15.87,9,0.12,0.1362,9.17,1.02
1.83,3.68,15.87,9,0.12,0.1351,9.17,1.05
1.82,3.67,15.87,9,0.12,0.1362,9.17,1.09
1.82,3.67,15.87,9,0.15,0.1362,9.17,1.1
1.82,3.67,15.87,9,0.15,0.1362,9.17,1.07
1.81,3.66,15.87,9,0.19,0.1362,9.17,1.03
1.81,3.66,15.87,9,0.19,0.1362,9.17,0.99
1.81,3.66,15.87,9,0.34,0.1362,9.15,0.96
1.82,3.67,15.87,9,0.22,0.1362,9.15,0.96
1.82,3.67,15.87,9,0.15,0.1362,9.15,0.96
1.82,3.67,15.87,9,0.12,0.1362,9.15,0.94
1.82,3.67,15.87,9,0.12,0.1351,9.16,0.95
1.82,3.67,15.87,9,0.12,0.1362,9.16,0.98
1.82,3.67,15.87,9,0.12,0.1362,9.16,0.99
1.82,3.67,15.87,9,0.25,0.1362,9.15,1
1.82,3.67,15.86,9,0.25,0.1362,9.14,0.99
1.82,3.67,15.86,9,0.19,0.1351,9.15,0.97
1.82,3.67,15.86,9,0.19,0.1362,9.15,0.95
1.82,3.67,15.86,9,0.19,0.1362,9.16,0.95
1.82,3.67,15.86,9,0.25,0.1362,9.16,0.99
1.82,3.67,15.86,9,0.25,0.1362,9.15,1.27
1.82,3.67,15.86,9,0.19,0.1362,9.15,1.38
1.82,3.67,15.86,9,0.12,0.1362,9.14,1.35
1.82,3.67,15.87,9,0.12,0.1351,9.14,1.26
1.82,3.67,15.87,9,0.15,0.1362,9.14,1.2
1.83,3.68,15.87,9,0.15,0.1362,9.14,1.32
1.83,3.68,15.87,9,0.15,0.1351,9.15,1.35
1.83,3.68,15.87,9,0.12,0.1362,9.15,1.32
1.83,3.68,15.87,9,0.12,0.1362,9.15,1.25
1.82,3.67,15.87,9,0.12,0.1362,9.15,1.17
1.82,3.67,15.87,9,0.12,0.1362,9.15,1.09
1.82,3.67,15.87,9,0.12,0.1362,9.14,1.03
1.82,3.67,15.87,9,0.12,0.1362,9.14,0.99
1.83,3.68,15.87,9,0.12,0.1362,9.15,0.95
1.83,3.68,15.87,9,0.15,0.1362,9.15,0.95
1.82,3.67,15.87,9,0.15,0.1362,9.15,0.97
1.83,3.68,15.87,9,0.15,0.1362,9.15,0.98
1.82,3.67,15.87,9,0.15,0.1362,9.14,1
1.82,3.67,15.87,9,0.12,0.1362,9.14,1.02
1.83,3.68,15.87,9,0.12,0.1362,9.14,1.02
1.83,3.68,15.87,9,0.12,0.1362,9.14,1.02
1.84,3.69,15.87,9,0.12,0.1362,9.14,1.01
1.83,3.68,15.87,9,0.12,0.1362,9.14,0.98
1.83,3.68,15.87,9,0.12,0.1362,9.14,0.98
1.83,3.68,15.88,9,0.12,0.1362,9.14,1.01
1.82,3.67,15.87,9,0.12,0.1362,9.14,1.02
1.82,3.67,15.88,9,0.12,0.1362,9.14,1.01
1.83,3.68,15.87,9,0.12,0.1362,9.14,1.01
1.83,3.68,15.87,9,0.12,0.1362,9.14,0.99
1.83,3.68,15.88,9,0.12,0.1362,9.14,0.97
1.83,3.68,15.87,9,0.12,0.1362,9.15,0.97
1.83,3.68,15.87,9,0.12,0.1362,9.15,0.99
1.83,3.68,15.88,9,0.12,0.1362,9.14,1.02
1.83,3.68,15.88,9,0.12,0.1362,9.14,1.05
1.82,3.67,15.87,9,0.12,0.1362,9.16,1.06
1.83,3.68,15.88,9,0.12,0.1362,9.16,1.1
1.83,3.68,15.87,9,0.12,0.1362,9.15,1.17
1.82,3.67,15.87,9,0.15,0.1362,9.15,1.3
1.82,3.67,15.87,9,0.15,0.1362,9.16,1.49
1.83,3.68,15.87,9,0.15,0.1362,9.16,1.55
1.83,3.68,15.87,9,0.15,0.1362,9.15,1.43
1.83,3.68,15.87,9,0.22,0.1362,9.15,1.3
1.82,3.67,15.87,9,0.37,0.1362,9.16,1.21
1.82,3.67,15.87,9,0.46,0.1362,9.16,1.14
1.82,3.67,15.87,9,0.43,0.1362,9.16,1.13
1.82,3.67,15.87,9,0.28,0.1362,9.15,1.15
1.82,3.67,15.87,9,0.15,0.1362,9.15,1.11
1.82,3.67,15.87,9,0.12,0.1362,9.16,1.1
1.83,3.68,15.87,9,0.12,0.1362,9.16,1.07
1.84,3.69,15.87,9,0.15,0.1362,9.14,1.05
1.84,3.69,15.87,9,0.19,0.1362,9.14,1.05
1.83,3.68,15.87,9,0.15,0.1362,9.16,1.26
1.82,3.67,15.88,9,0.12,0.1362,9.16,1.49
1.83,3.68,15.87,9,0.12,0.1362,9.15,1.5
1.82,3.67,15.87,9,0.12,0.1362,9.15,1.4
1.83,3.68,15.87,9,0.12,0.1362,9.16,1.3
1.82,3.67,15.87,9,0.12,0.1362,9.16,1.23
1.84,3.69,15.87,9,0.12,0.1362,9.16,1.19
1.84,3.69,15.87,9,0.12,0.1362,9.16,1.2
1.84,3.69,15.87,9,0.12,0.1362,9.14,1.18
1.84,3.69,15.87,9,0.12,0.1362,9.14,1.12
1.84,3.69,15.87,9,0.12,0.1362,9.14,1.07
1.83,3.68,15.87,9,0.09,0.1362,9.14,1.06
1.83,3.68,15.87,9,0.12,0.1362,9.14,1.11
1.83,3.68,15.87,9,0.09,0.1362,9.14,1.18
1.83,3.68,15.87,9,0.12,0.1362,9.14,1.3
1.83,3.68,15.87,9,0.09,0.1362,9.15,1.35
1.82,3.67,15.87,9,0.09,0.1351,9.15,1.27
1.83,3.68,15.87,9,0.09,0.1362,9.15,1.19
1.83,3.68,15.87,9,0.09,0.1373,9.15,1.11
1.84,3.69,15.87,9,0.09,0.1362,9.15,1.06
1.83,3.68,15.87,9,0.12,0.1362,9.15,1.02
1.84,3.69,15.87,9,0.09,0.1362,9.13,0.99
1.83,3.68,15.87,9,0.12,0.1362,9.13,1.02
1.83,3.68,15.87,9,0.12,0.1362,9.13,1.11
1.83,3.68,15.87,9,0.12,0.1362,9.14,1.16
1.83,3.68,15.87,9,0.12,0.1362,9.14,1.18
1.83,3.68,15.87,9,0.12,0.1362,9.14,1.19
1.83,3.68,15.87,9,0.12,0.1362,9.14,1.16
1.83,3.68,15.87,9,0.12,0.1362,9.14,1.11
1.83,3.68,15.87,9,0.12,0.1362,9.14,1.07
1.83,3.68,15.87,9,0.12,0.1362,9.13,1.04
1.83,3.68,15.87,9,0.12,0.1362,9.13,1.07
1.83,3.68,15.87,9,0.12,0.1362,9.13,1.13
1.83,3.68,15.87,9,0.12,0.1362,9.13,1.14
1.83,3.68,15.87,9,0.12,0.1362,9.13,1.11
1.85,3.7,15.87,9,0.12,0.1362,9.13,1.19
1.85,3.7,15.87,9,0.12,0.1362,9.13,1.2
